stand_id,stand_name,username
U073011,徐家點心,kw743
U073012,秦鈺軒商行,fk4700
U073013,普魯軾歐式美食,yu680
U073014,逸湘齋,qo1560
U073015,隆記南京板鴨,rh948
U073016,萬有全火腿,et736
U073017,福泰和,mc305
U073018,億長御坊,pb966
U073019,潮滬軒,oo2744
U073020,嚐嚐九九,hs3188
U074001,沅誠水餃店,dj2744
U074002,味好香燒臘店,sl4700
U074003,現榨剝皮柳橙,wc156
U074004,創業雞鴨店,cr1645
U074005,富盛鮮魚號,uc2313
U074006,華國牛肉莊,zm5472
U074007,黃媽媽米粉湯,tn619
U074008,羅媽媽米粉湯,jlckxdt533
U075001,幸福廚房,afvvhdu926
U075002,旺進雞行,rqsrmcr4936
U075003,松鼠Bnbon,ucwyini850
U075004,松鼠Bonbon,corkpfj9749
U075005,阿興麵食館,mnhhopr736
U075006,喜樂手工蛋捲坊,wblpusm350
U075007,熊之屋,yugkaee2125
U075008,辣媽滷味,ximdecn2313
U075009,德記水果行,kqqouxh4700
U076001,Juice For Life,epbfbvg2555
U076002,丸子達人,ujekmwu791
U076003,王朝燕窩,rjegcxh99
U076004,西湖小立吞,gqalyet5947
U076005,咖哩嚕哆,fmzwvoq6217
U076006,建徽肉品,ijpaxzw99
U076007,珍香肉品,ssgcbfp9561
U076008,珍香肉品專賣店,qfvghgu401
U076009,陳允花研所,dudettg627
U076010,跩媽咪手工水餃,bijieta804
U077001,93豬肉店,uzusfzh296
U077002,品三仙扁食之家,perbytw3245
U077003,馬沙海鮮,lspjgjd585
U077004,銘記肉鬆店,nwcuxsx5947
U077005,聰明水果行,zraucap8243
U078001,上味香魚丸,xwcafjn272
U078002,白金山貢丸,osqcbjk2986
U078003,春和油飯,cjhmwnb6689
U080001,49蔬菜攤,mriqbxk981
U080002,一元行手工水餃,hiowlym3613
U080003,易美水果舖,ivmcjvo3613
